-0.046;-0.032;-0.991|0.700;-1.041;3.106|0.0;0.0;0.0
-0.046;-0.032;-1.002|0.315;-2.879;2.905|0.0;0.0;0.0
-0.044;-0.032;-0.998|-0.420;-4.690;2.721|0.0;0.0;0.0
-0.043;-0.033;-0.991|-0.289;-4.375;2.739|0.0;0.0;0.0
-0.042;-0.033;-0.992|0.157;-3.141;2.984|0.0;0.0;0.0
-0.042;-0.033;-0.995|0.630;-1.715;3.036|0.0;0.0;0.0
-0.042;-0.033;-0.993|0.683;-1.111;3.080|0.0;0.0;0.0
-0.044;-0.033;-0.992|0.849;-0.192;3.203|0.0;0.0;0.0
-0.044;-0.033;-0.994|1.155;0.271;3.264|0.0;0.0;0.0
-0.046;-0.033;-0.996|1.304;0.516;3.246|0.0;0.0;0.0
-0.045;-0.032;-0.999|1.190;0.061;3.203|0.0;-0.0;0.0
-0.045;-0.032;-0.993|1.400;0.656;3.220|0.0;0.1;0.4
-0.043;-0.031;-0.992|1.601;1.418;3.351|-1.9;-2.7;178.6
-0.043;-0.031;-0.990|1.942;2.284;3.491|-1.9;-2.8;178.8
-0.043;-0.032;-0.991|1.732;1.890;3.378|-2.0;-2.8;179.0
-0.045;-0.032;-0.993|1.496;1.470;3.334|-2.0;-2.8;179.2
-0.046;-0.032;-0.992|1.566;1.050;3.159|-2.1;-2.9;179.4
-0.046;-0.032;-0.998|1.050;0.149;3.194|-2.0;-2.9;179.6
-0.047;-0.032;-0.994|1.094;0.411;3.124|-1.9;-3.0;179.8
-0.047;-0.031;-0.992|0.954;0.796;3.211|-1.7;-3.1;-180.0
-0.045;-0.030;-0.990|1.820;2.056;3.159|-1.5;-3.1;-179.8
-0.046;-0.031;-0.988|1.908;1.846;3.299|-1.3;-3.1;-179.9
-0.047;-0.031;-0.989|1.531;1.190;3.281|-1.3;-3.2;-179.8
-0.050;-0.032;-0.989|1.260;0.271;3.203|-1.1;-3.1;-179.9
-0.050;-0.033;-0.993|0.936;-0.166;3.045|-0.9;-3.1;180.0
-0.049;-0.031;-1.002|0.971;-0.455;3.115|-0.4;-3.1;179.9
-0.048;-0.031;-0.998|1.190;-0.271;3.054|0.0;-3.1;179.7
-0.047;-0.031;-0.994|1.269;-0.087;3.027|0.2;-3.1;179.7
-0.046;-0.032;-0.984|0.735;-0.752;3.080|0.3;-3.0;179.6
-0.046;-0.032;-0.990|0.945;-1.120;2.984|0.4;-3.0;179.5
-0.047;-0.031;-0.991|1.067;-0.114;3.299|0.4;-3.0;179.4
-0.047;-0.032;-0.992|1.059;-0.175;3.159|0.4;-3.0;179.4
-0.048;-0.031;-0.994|0.928;-0.604;3.176|0.5;-2.9;179.3
-0.048;-0.032;-0.995|0.814;-0.735;3.124|0.6;-2.9;179.3
-0.047;-0.031;-0.992|0.910;-0.438;3.150|0.7;-2.9;179.2
-0.046;-0.030;-0.991|0.849;-0.394;3.141|0.8;-2.9;179.2
-0.046;-0.029;-0.990|0.735;-0.472;3.054|0.8;-2.9;179.1
-0.047;-0.030;-0.990|0.875;-0.420;3.045|0.8;-2.9;179.1
